ID,CHURN,Gender,Status,Children,Est Income,Car Owner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan
85,F,F,M,1,77129.1,Y,61.846667,24.77,0,20.07,0,CH,FreeLocal,Intnl_discount,44.85,4
86,F,F,M,2,8204.72,N,52.973333,15.59,0,24.19,0,CH,FreeLocal,Standard,39.79,3
87,T,M,M,1,97180.4,N,50.6,8.21,9.63,45.66,0,CC,FreeLocal,Standard,63.51,4
88,F,F,M,0,80405.1,N,60.226667,2.91,8.95,17.11,0,CC,FreeLocal,Standard,28.98,4
89,T,F,S,2,38280,N,33.74,11.64,0,74.97,0,Auto,FreeLocal,Intnl_discount,86.61,4
90,T,M,S,0,64136.6,Y,61.106667,16.21,1,125.15,0,CC,FreeLocal,Intnl_discount,142.37,2
92,T,F,M,2,45429.7,Y,61.713333,24.7,0,73.04,0,CH,FreeLocal,Standard,97.74,2
94,T,F,S,0,25285.5,N,53.986667,9.37,0,11.93,0,CC,FreeLocal,Standard,21.3,1
95,F,F,M,2,77551.1,Y,33.6,20.53,0,41.89,1,CC,Budget,Intnl_discount,62.42,2
96,T,F,M,0,38538.4,N,12.326667,22.86,8.32,16.48,0,CC,FreeLocal,Standard,47.66,3
97,F,F,S,0,69350.5,Y,57.42,1.9,0,25.95,0,CC,FreeLocal,Standard,27.86,4
104,T,M,S,2,43634.5,N,21.78,29.44,9.42,104.64,0,CC,Budget,Standard,143.5,1
108,T,F,S,1,13109.1,N,62.606667,22.38,0,40.48,0,Auto,Budget,Standard,62.87,1
109,T,M,S,1,92647.5,N,56.046667,16.04,5.74,10.34,0,CC,Budget,Standard,32.13,4
110,T,F,S,2,21021.6,Y,62.753333,1,0,11.19,0,CC,Budget,Standard,14.95,3
111,T,M,S,0,74460.7,Y,55.34,25.53,0.99,179.93,0,CC,FreeLocal,Standard,206.46,2
114,T,F,S,2,28787.4,N,41.666667,27.97,0,58.09,0,Auto,Budget,Standard,86.06,2
117,F,M,M,1,13091.6,N,59.126667,22.79,0,20.26,0,CC,Budget,Intnl_discount,43.06,2
120,F,F,M,2,62061.8,Y,45.92,29.86,0,52.22,0,Auto,FreeLocal,Standard,82.08,2
121,T,F,M,1,20550.9,Y,22.12,27.72,0.86,57.06,0,CC,Budget,Standard,85.64,3
124,F,M,M,2,1765.41,N,18.766667,3.04,0,44.95,0,CC,FreeLocal,Standard,47.99,4
127,T,F,S,2,19131.1,N,56.186667,22.15,0,34.91,0,Auto,Budget,Standard,57.07,2
130,F,F,S,2,83073.7,N,39.553333,0,0,3.2,0,CC,Budget,Standard,3.2,4
133,F,M,M,2,42750.3,Y,50.493333,20.59,1.97,112.4,0,Auto,Budget,Intnl_discount,134.97,1
135,T,F,S,2,2842.55,N,45.92,0,0,0.79,0,Auto,Budget,Intnl_discount,0.79,2
136,F,M,M,2,22358.1,N,52.626667,15.54,1.52,12.19,0,CC,Budget,Standard,29.25,1
138,F,M,M,0,47870.8,Y,27.26,2,1.17,12.48,0,CC,FreeLocal,Standard,13.82,2
139,F,F,S,2,6440.46,Y,52.646667,22.66,0,27.2,0,CH,Budget,Standard,49.86,1
140,T,F,S,0,7325.5,N,36.92,28.52,0,161.54,0,CC,FreeLocal,Intnl_discount,190.06,2
142,F,M,M,2,28766.9,N,46.84,6.11,0,58.08,0,CC,Budget,Standard,64.2,1
148,F,M,M,2,91272.2,Y,25.033333,26.99,0,13.01,0,CC,FreeLocal,Standard,40,3
154,T,M,S,0,65000,Y,45.653333,11.63,9.7,115.66,1,Auto,FreeLocal,Intnl_discount,137,4
158,F,M,M,2,1406.05,Y,19.306667,11.55,0,15.17,0,CC,Budget,Standard,26.72,1
160,F,F,S,0,73228.3,N,62,22.47,0,28.11,0,Auto,Budget,Standard,50.58,4
161,F,F,S,2,76231.9,N,63.806667,2.01,0,150.75,0,Auto,FreeLocal,Standard,152.76,2
166,T,M,M,1,64792.3,N,52.146667,13.05,1.51,36.84,0,CH,FreeLocal,Standard,51.41,3
169,T,F,S,0,93322.1,Y,40.313333,29.92,0,8.79,0,CH,Budget,Intnl_discount,38.72,1
174,T,M,M,1,63437.3,N,63.653333,0.68,3.35,10.94,0,CC,Budget,Intnl_discount,14.98,4
178,F,M,M,2,49910.7,Y,51.52,27.42,0,23.72,0,CC,Budget,Standard,51.14,3
180,T,M,M,0,76161.4,Y,44.573333,11.96,0,25.58,0,CC,FreeLocal,Standard,37.55,4
181,F,F,M,2,55860,Y,14.573333,16.01,0,10.35,0,CC,FreeLocal,Intnl_discount,26.37,3
182,T,F,S,1,12686,N,64.8,23.23,0,80.64,0,Auto,Budget,Standard,103.88,2
190,F,M,M,2,57360.8,Y,53.253333,10.36,0,57.25,0,CC,FreeLocal,Standard,67.61,1
191,T,M,M,0,92414.7,Y,45.513333,29.43,0,10.62,0,CC,FreeLocal,Standard,40.06,4
192,T,M,M,1,60102.7,N,42.14,9.84,0,62.44,1,CH,FreeLocal,Standard,72.29,3
194,F,F,M,2,17888.7,N,55,29.41,0,332.46,0,CC,Budget,Standard,361.88,1
195,T,F,S,1,12526.3,N,53.553333,11.72,0,28.86,0,CC,FreeLocal,Intnl_discount,40.59,2
198,T,F,S,2,14578.8,Y,60.933333,11.91,0,95.1,0,Auto,Budget,Standard,107.02,1
201,T,M,M,0,78572.2,Y,42.346667,21.81,0,29.28,1,CC,FreeLocal,Standard,51.09,4
203,F,F,M,2,48238.8,N,34.706667,23.28,0,168.03,0,CC,FreeLocal,Standard,191.32,4
205,F,F,M,0,28770.9,N,12.34,27.99,5.32,16.27,0,CH,FreeLocal,Standard,49.6,4
206,F,F,M,2,87578.2,Y,53.366667,0.29,0,22.15,0,CC,Budget,Standard,22.44,1
207,F,F,M,2,86695.4,N,13.906667,25.94,0,32.09,0,CC,FreeLocal,Standard,58.03,2
209,F,F,S,2,76791.2,N,61,20.71,0,23,0,CC,Budget,Intnl_discount,43.71,4
213,T,F,D,0,30763.8,Y,14.193333,21.32,0,35.85,0,CC,Budget,Standard,57.17,4
214,F,F,M,2,3193.6,N,54.046667,4.19,0,114.62,1,CH,Budget,Standard,118.82,3
215,F,M,M,1,69680.9,N,15.846667,7.67,0,32.12,0,CC,FreeLocal,Intnl_discount,39.8,2
218,F,F,M,0,83287,N,45.486667,29.64,0,90.18,4,Auto,FreeLocal,Intnl_discount,119.82,3
219,T,M,S,0,2056.06,Y,18.94,24.07,6.98,27.75,0,Auto,Budget,Standard,58.8,2
220,F,F,M,2,7776.6,N,35.706667,25.87,0,68.33,0,CC,FreeLocal,Standard,94.2,4
221,F,M,M,1,2067.82,N,47.853333,15.25,0,70.65,0,CC,Budget,Intnl_discount,85.9,4
222,T,M,S,0,66666,N,52,4.58,7.66,8.49,0,CH,Budget,Standard,20.74,1
224,F,F,M,2,69343.3,N,42.166667,6.36,0,15.54,0,CC,FreeLocal,Standard,21.91,2
225,F,F,M,0,77000,N,55,0.57,0,23.89,2,Auto,Budget,Standard,24.46,4
228,F,F,M,0,14932.5,N,52,4.91,0,6.5,0,CC,Budget,Intnl_discount,11.42,1
229,F,F,S,0,27498.1,N,42,2.2,0,9.88,0,CC,Budget,Intnl_discount,12.08,4
231,F,F,M,2,21419.9,N,59.833333,26.39,0,103.12,0,CC,FreeLocal,Standard,129.51,1
232,F,F,M,2,30665.2,Y,22.88,5.83,8.32,63.28,0,Auto,FreeLocal,Standard,77.44,3
233,F,F,M,1,66000,Y,63.353333,6.08,0,30.95,0,Auto,FreeLocal,Intnl_discount,37.04,2
234,F,F,M,2,50561.3,N,52,16.6,0,113.31,1,CH,Budget,Standard,129.91,2
236,T,F,S,2,23464,Y,70,22.43,0,41.71,0,CC,Budget,Intnl_discount,64.14,3
237,F,F,M,2,194.57,N,42,28.26,0,38.95,0,CC,FreeLocal,Standard,67.21,4
238,F,F,M,1,98680.4,Y,55,17.58,0,8.85,0,CH,FreeLocal,Intnl_discount,26.44,4
239,T,M,M,1,65619.7,Y,46,13.56,0,144.66,0,CC,Budget,Standard,158.22,3
240,F,F,M,1,95620.3,Y,52,10.91,0,93.61,0,CC,Budget,Standard,104.53,2
241,F,F,S,0,85275,N,47,22.48,0,151.61,0,Auto,FreeLocal,Intnl_discount,174.09,2
242,F,F,M,1,66921.4,Y,43,15.7,0,8.97,0,CC,FreeLocal,Intnl_discount,24.67,3
243,F,F,M,1,98453.6,Y,46,13.72,0,11.65,0,Auto,FreeLocal,Standard,25.38,3
244,F,F,M,2,94026.8,Y,27.746667,25,0,10.62,0,CC,FreeLocal,Intnl_discount,35.63,3
246,F,F,S,2,57420,Y,61,25.18,0,252.53,1,Auto,Budget,Standard,277.72,2
247,T,M,M,0,77000,N,44,3.93,3.73,26.69,1,CH,FreeLocal,Standard,34.35,4
249,F,M,M,2,47639.1,N,48,17.48,0,39.62,0,CC,Budget,Intnl_discount,57.11,4
250,F,F,M,2,63234.5,Y,52.36,0,0,1.16,0,CH,FreeLocal,Intnl_discount,1.16,3
254,F,F,M,2,18296.4,Y,42.626667,0.08,0,10.39,0,CC,FreeLocal,Standard,10.47,3
255,T,F,S,0,39461,N,22.226667,22.87,0.28,103.52,1,CC,FreeLocal,Standard,126.68,4
257,F,F,S,1,68000,N,60,22.82,0,63.29,0,Auto,FreeLocal,Standard,86.12,3
260,F,F,M,2,52957,Y,39.746667,25.79,0,125.52,2,CH,FreeLocal,Standard,151.32,2
261,F,F,S,2,86747.1,N,64.853333,20.15,0,37.24,0,Auto,Budget,Standard,57.4,3
263,F,F,M,1,87404.6,N,63.186667,21.63,0,139.2,0,Auto,Budget,Standard,160.84,3
264,F,M,S,2,20919,N,27.886667,6.26,4.92,153.36,0,CC,FreeLocal,Intnl_discount,164.54,2
265,F,F,M,2,85394,Y,20.16,19.28,2.02,14.38,1,Auto,Budget,Intnl_discount,35.69,4
266,T,F,S,0,2121.36,N,39.786667,2.02,0,36.78,1,CC,FreeLocal,Standard,38.8,3
267,F,F,M,2,63566.1,Y,56.3,7.94,0,65.09,0,CH,Budget,Intnl_discount,73.03,2
270,F,F,S,0,89813.6,N,12.846667,14.94,1.96,149.26,0,CC,FreeLocal,Intnl_discount,166.18,4
272,F,F,M,2,82644.2,Y,33.493333,21.97,0,19.88,0,CC,FreeLocal,Intnl_discount,41.85,4
273,T,F,S,1,27783.6,N,14.04,4.97,6.53,18.07,0,CC,FreeLocal,Standard,29.58,3
276,F,F,M,2,60485.5,N,41.666667,11.7,0,28.7,0,Auto,Budget,Intnl_discount,40.41,1
279,F,F,M,2,809.43,Y,31.913333,0,0,2.89,0,CH,FreeLocal,Intnl_discount,2.89,1
280,T,M,S,1,76529.8,N,58.28,18.46,5.36,20.05,0,CC,Budget,Standard,43.89,1
281,F,F,M,2,34577.7,N,63.253333,29.18,0,116.57,3,CH,Budget,Standard,145.75,2
283,F,F,M,0,80000,N,48,27.56,0,45.46,0,Auto,Budget,Standard,73.02,3
284,T,F,S,2,19008.4,Y,52.166667,10.54,0,137.19,0,CC,FreeLocal,Standard,147.74,4
285,F,F,M,0,98056.3,N,55.966667,23.7,0,126.96,0,Auto,FreeLocal,Standard,150.67,3
286,T,M,M,0,73400,Y,64.226667,0,0,2.21,0,CH,Budget,Standard,2.21,4
288,F,M,M,0,78894.2,N,28,2,1.41,43.23,0,CH,Budget,Intnl_discount,46.65,2
289,T,M,S,1,16432.1,Y,20.92,20.41,8.89,80.47,0,CH,Budget,Intnl_discount,109.78,1
290,T,M,M,0,62797.9,N,54.446667,8.32,4.28,55.48,0,CH,Budget,Intnl_discount,68.09,1
291,T,M,S,1,71329.9,Y,42.233333,14.27,3.55,45.92,0,CC,Budget,Standard,63.75,3
295,T,F,S,0,20913.6,N,53.013333,22.99,7.16,65.77,0,CC,FreeLocal,Standard,95.93,4
298,T,F,S,1,540.4,Y,39.213333,12.34,0,7.75,0,Auto,Budget,Intnl_discount,20.1,4
302,F,M,M,2,67339.8,N,17.006667,27.83,5.19,48.69,0,CC,FreeLocal,Intnl_discount,81.72,2
304,T,M,M,1,75799.9,N,46.38,22.24,7.02,64.8,0,CC,FreeLocal,Intnl_discount,94.06,3
305,T,F,S,2,15688.5,N,53.06,14.39,0,8.03,0,CC,Budget,Standard,22.42,4
306,T,F,S,0,43382.3,N,16.073333,29.67,8.76,99.94,0,CH,FreeLocal,Standard,138.37,2
308,T,F,S,0,5185.31,N,62.053333,16.39,5.99,30.51,0,CC,FreeLocal,Intnl_discount,52.9,2
309,T,F,S,0,41000,N,16.06,26.01,0,108.44,0,CC,Budget,Standard,134.45,4
310,T,F,S,0,32098,N,22.433333,22.96,8.28,75.27,0,CH,Budget,Intnl_discount,106.53,2
312,F,F,M,2,80087.7,N,41.92,8.74,0,22.82,0,CC,FreeLocal,Standard,31.56,4
313,F,F,M,2,59691.3,N,38.04,21.94,0,256.7,0,CC,Budget,Standard,278.65,2
315,T,F,S,2,11251.1,Y,61,28.42,0,113.48,0,CC,FreeLocal,Standard,141.91,2
317,T,M,M,0,70908.7,N,49.62,7.7,4.55,43.2,0,CC,FreeLocal,Standard,55.47,4
318,T,M,S,0,94928.3,N,40.18,14.42,5.61,73.74,0,CH,FreeLocal,Standard,93.78,4
320,F,F,M,2,50622.3,N,40.46,20.45,2.07,90.19,0,Auto,FreeLocal,Standard,112.72,2
322,T,M,M,0,78000,Y,52.266667,16.2,4.27,18.84,0,CC,FreeLocal,Intnl_discount,39.32,3
326,T,M,M,0,100020,Y,52.266667,29.55,0,62.81,0,CH,Budget,Standard,92.37,4
329,F,F,M,1,56722.8,N,60.593333,17.37,6.21,51.17,0,CC,FreeLocal,Standard,74.77,2
331,T,M,M,1,80000,N,53.213333,0,0,3.22,0,CC,Budget,Intnl_discount,3.22,3
332,T,F,S,2,3416.62,Y,22.76,18.97,0,104.73,0,CC,Budget,Standard,123.7,4
333,F,F,M,0,73400,Y,55.633333,0.17,0,10.22,0,Auto,Budget,Standard,10.39,2
334,T,M,M,0,120000,Y,53.213333,15.27,0,25.62,0,CC,FreeLocal,Standard,40.9,4
335,F,F,M,2,8032.16,N,45.666667,29.68,0,59.08,0,CC,FreeLocal,Standard,88.77,2
336,F,F,S,1,93454.3,Y,48.533333,18.94,0,25.18,0,Auto,FreeLocal,Standard,44.13,4
337,T,M,M,0,5745,Y,15.38,26.4,0,17.71,0,CC,FreeLocal,Standard,44.11,1
338,F,F,S,0,83287,N,77,0.41,7.35,208.19,0,Auto,Budget,Standard,215.96,4
339,F,F,S,0,92564.1,Y,49.133333,23.17,0,51.68,0,Auto,FreeLocal,Standard,74.86,3
341,F,M,S,0,86448.2,Y,38.133333,4.91,3.14,82.19,0,CC,Budget,Intnl_discount,90.25,2
343,F,F,M,2,48322.5,Y,49.333333,6.69,0,43.6,0,CC,FreeLocal,Standard,50.29,1
346,F,F,M,2,81913.8,Y,49.66,6.7,0,46.33,0,CC,FreeLocal,Standard,53.03,1
349,T,F,S,0,919.93,N,38.26,27.28,0,93.42,0,CH,Budget,Standard,120.71,3
350,F,F,M,2,69486.8,N,30.946667,7.72,0,9.39,1,CC,Budget,Standard,17.11,1
351,F,F,M,2,24482.8,N,33.533333,0,0,2,0,CH,Budget,Intnl_discount,2,4
353,F,F,M,0,14573.6,N,64.606667,26.61,0,236.97,0,CC,Budget,Standard,263.58,4
354,F,F,M,2,92103.8,N,52.153333,7.42,0,7.43,0,CC,Budget,Standard,14.86,3
355,T,F,S,2,8392.14,Y,36.68,25.03,7.33,54.8,0,CH,Budget,Intnl_discount,87.16,3
356,T,F,S,0,17138.2,N,63.786667,20.01,0,84.67,0,CC,FreeLocal,Intnl_discount,104.69,3
358,F,F,M,2,47010.1,N,57.406667,2.54,0,164.76,0,CC,Budget,Intnl_discount,167.31,1
360,F,F,S,1,67239.4,N,44.433333,12.89,0,53.81,0,Auto,FreeLocal,Intnl_discount,66.7,2
361,F,M,M,1,69406.7,Y,30,6.9,7.21,128.1,1,CC,FreeLocal,Standard,142.23,2
363,F,F,M,2,83259.3,N,50.88,0,0,4.46,0,CC,Budget,Standard,4.46,4
365,F,M,S,2,60095.2,Y,23.313333,1.71,0,116.14,0,Auto,Budget,Standard,117.85,2
370,F,F,M,2,2185.6,N,52.513333,7.12,0,20.95,1,CH,Budget,Standard,28.07,1
372,T,M,M,1,76511.3,N,62.08,21.68,3.46,17.37,0,CC,FreeLocal,Standard,42.52,2
374,T,F,M,1,6946.07,N,23,25.77,0,8.84,0,CH,FreeLocal,Standard,34.61,2
375,F,F,M,2,11234.7,Y,49.046667,0.69,0,112.72,0,CC,Budget,Standard,113.42,3
377,F,F,M,2,36660.9,Y,39.96,0,0,3.36,1,CH,Budget,Intnl_discount,3.36,1
379,F,F,M,2,68462.8,N,34.4,24.39,5.93,60.51,0,CC,FreeLocal,Standard,90.84,2
382,F,F,M,2,72841.3,N,47.02,10.36,0,72.16,0,CC,Budget,Standard,82.53,1
383,F,F,M,2,63670.8,Y,46.146667,27.39,0,51.47,0,Auto,FreeLocal,Standard,78.87,2
384,T,M,S,0,83287,N,45.486667,29.73,5.24,35.73,0,CC,Budget,Standard,70.7,2
385,F,F,S,1,66000,Y,45.486667,20.44,0,100.08,0,Auto,Budget,Standard,120.53,1
386,F,M,M,0,12387.6,N,56.173333,7,0,65.93,0,Auto,FreeLocal,Standard,93.85,2
388,F,F,M,1,82931.3,N,64.64,19.24,0,118,0,Auto,FreeLocal,Standard,137.25,2
389,F,F,M,2,57483.9,N,44.026667,17.01,0,27.29,0,CH,Budget,Standard,44.3,2
391,T,F,S,2,21274,N,45.526667,10.87,0,32.43,0,Auto,FreeLocal,Standard,43.31,2
392,F,F,M,2,28267,N,30.093333,21.87,0,192.53,0,CC,FreeLocal,Standard,214.41,2
394,F,F,M,2,36725.1,N,55.793333,8.65,9.22,77,0,CH,Budget,Standard,94.88,2
398,T,M,S,1,94188.3,N,57.546667,20.86,0.86,19.78,0,CC,Budget,Standard,41.51,2
401,F,F,M,2,91861,Y,41.98,15.32,0,6.74,0,CC,Budget,Standard,22.06,3
404,T,F,S,1,12374.9,Y,33.493333,17.49,0,106.1,0,Auto,FreeLocal,Standard,123.59,3
405,F,F,M,2,69133.9,Y,26.833333,8.58,0,37.73,0,CH,FreeLocal,Standard,46.32,2
407,F,F,M,2,84948,Y,29.446667,11.14,0,12.58,0,CH,FreeLocal,Intnl_discount,23.73,3
408,F,F,M,2,30998.8,N,40.96,2.4,0,50.5,0,Auto,Budget,Standard,52.91,2
410,F,M,S,0,15924.2,N,14.46,0,0,1.46,0,CH,FreeLocal,Standard,1.46,2
414,F,M,M,2,21416.5,N,35.653333,9.9,9.17,8.53,0,CC,FreeLocal,Intnl_discount,27.61,1
418,F,M,M,2,78554.2,N,16.7,5.59,7.26,23.03,0,Auto,Budget,Standard,35.88,3
419,T,M,S,1,3960.5,N,14.693333,29.78,0,66.35,0,Auto,FreeLocal,Standard,96.13,2
421,T,M,M,0,60101.1,Y,63.766667,27.7,6.11,124.14,2,CH,FreeLocal,Standard,157.96,4
422,F,F,M,2,38215.9,N,30.886667,0,0,0.97,0,Auto,Budget,Standard,0.97,2
423,T,F,M,1,13829.4,N,22,28,0,160.42,0,CC,FreeLocal,Standard,176.61,1
424,F,F,M,2,49745.3,N,47.966667,2.84,0,24.44,0,CH,Budget,Intnl_discount,27.28,3
426,F,F,M,2,88427,N,13.86,22.46,4.16,43.34,0,CC,Budget,Standard,69.97,3
427,F,F,M,2,98003.7,Y,26.273333,1.03,0,83.39,0,CC,FreeLocal,Intnl_discount,84.42,1
428,F,M,S,0,89142.7,N,33,3.76,8.13,5.01,0,CC,Budget,Intnl_discount,16.91,2
429,F,F,S,0,74530.8,N,63.086667,20.89,0.49,106.5,0,Auto,FreeLocal,Intnl_discount,127.89,2
431,T,F,S,0,35000,N,23,30,0,262.91,0,CC,Budget,Standard,265.78,3
436,F,F,M,2,76289.2,N,48.206667,22.2,0,82.43,0,CC,Budget,Intnl_discount,104.63,2
438,T,M,M,1,66931.9,N,63.933333,11.72,0.39,5.35,0,CC,Budget,Standard,17.46,4
439,T,F,D,1,9309.57,Y,24,40,0,99.73,0,CC,FreeLocal,Standard,108.3,2
440,T,F,M,1,14085.5,N,23,26,0,26.78,0,Auto,FreeLocal,Intnl_discount,48.08,1
441,T,F,S,0,32962.6,N,19,27,0,154.77,0,CC,Budget,Intnl_discount,168.28,2
442,T,F,S,0,40000,N,20,26,0,61.44,0,CC,Budget,Standard,65.79,2
443,T,F,S,2,33330,N,21,33,0,35.73,0,Auto,Budget,Standard,41.78,3
444,T,F,S,1,32098,N,22,33,0,9.51,0,Auto,Budget,Intnl_discount,23.52,1
445,T,F,S,2,30090,N,24,37,2.22,38.18,0,CC,FreeLocal,Standard,62.95,1
446,T,F,S,1,40120,N,24,28.45,0,106.3,0,CC,Budget,Standard,134.75,4
450,F,F,M,2,90271.6,N,44.926667,13.96,0,96.43,0,CC,FreeLocal,Standard,110.4,4
455,F,F,M,2,64816.6,Y,31.126667,21,0,6.87,0,CC,Budget,Standard,27.87,2
456,F,F,M,2,98217.1,N,44.98,29.49,0,13.24,0,CC,FreeLocal,Standard,42.74,1
458,T,F,S,1,2929.13,N,53.506667,14,0,88.23,0,CH,Budget,Intnl_discount,102.23,1
460,F,F,M,2,41876.6,Y,44.093333,6.78,0,132.65,0,CC,FreeLocal,Standard,139.44,3
461,T,M,M,0,96223.4,Y,64.76,11.81,0.63,5.73,0,CC,FreeLocal,Standard,18.18,1
462,T,F,S,0,15989.3,N,61.693333,3.67,0,25.49,1,CC,Budget,Intnl_discount,29.17,4
463,T,M,M,0,69168.4,Y,62.426667,14.16,6.01,214.73,0,CC,Budget,Standard,234.91,2
464,F,M,M,1,92148.5,Y,33,3,0,100.9,0,CC,Budget,Intnl_discount,113.68,2
465,F,M,M,0,96681,Y,19.76,7,7.66,40.92,0,CC,Budget,Standard,73.76,2
466,F,M,S,0,62705.9,Y,32,8,0,6.81,0,CC,FreeLocal,Intnl_discount,33.44,2
467,F,M,S,0,80221.2,N,29.026667,9,0,49.56,0,Auto,FreeLocal,Standard,50.48,2
468,F,M,S,0,84479.2,N,30,7,0,43.01,0,CC,FreeLocal,Standard,56.23,2
469,F,F,M,2,64977.4,N,38.193333,28.11,0,17.66,0,CC,FreeLocal,Standard,45.77,2
470,T,F,M,0,77994,N,50.553333,12.4,0,89.62,0,CH,FreeLocal,Standard,102.02,1
471,F,M,M,2,90103.7,N,34.946667,12.23,8.87,45.34,0,CC,Budget,Intnl_discount,66.45,3
472,T,F,M,0,59008.4,Y,30.18,12.86,0,18.73,0,CC,Budget,Standard,31.59,1
473,F,M,M,2,5265.35,N,52.873333,2.33,5.3,23.46,0,Auto,Budget,Intnl_discount,31.1,3
474,T,M,S,1,84978.1,N,21.64,5.03,7.68,76.07,0,CH,FreeLocal,Intnl_discount,88.79,1
475,F,F,M,2,36647.9,N,49.986667,21.41,0,85.96,0,CC,Budget,Intnl_discount,107.38,3
476,T,F,S,0,64319.2,N,41.226667,3.01,0,37.15,0,CH,Budget,Intnl_discount,40.16,1
477,F,F,S,1,73338,N,48.246667,20.92,0,9.01,0,Auto,Budget,Intnl_discount,29.93,3
478,T,F,S,0,433.74,N,60.746667,3.3,0,40.91,0,CC,FreeLocal,Standard,44.22,1
